id;description;name;
61091710;See the zenta standard at http://www.opengroup.org/zenta/doc/ts_zenta/;zenta:BusinessCollaboration;
2a8bae66;A folder containing some elements of a model.;zenta:Folder;
38feb060;See the zenta standard at http://www.opengroup.org/zenta/doc/ts_zenta/;zenta:DataObject;
87ea8b49;See the zenta standard at http://www.opengroup.org/zenta/doc/ts_zenta/;zenta:BusinessActor;
14a5901d;See the zenta standard at http://www.opengroup.org/zenta/doc/ts_zenta/;zenta:Product;
26cbd61e;See the zenta standard at http://www.opengroup.org/zenta/doc/ts_zenta/;zenta:BusinessEvent;
093d55e2;See the zenta standard at http://www.opengroup.org/zenta/doc/ts_zenta/;zenta:BusinessProcess;
3ecd2e2a;A plateau;zenta:Plateau;
b42ede3c;The zenta model.;zenta:model;
fd882843;A Node as defined by Zentamate;zenta:Node;
ac66eeae;Application Component;zenta:ApplicationComponent;
