id;description;order;select;multi;
81c4876a;there is a specialisation relationship from the ancestor to the objectClass;0;//objectClass[@parentid=//archimate:SpecialisationRelationship[@source=$id]/@target]/../@name|//ArchimateObjectClass[@parentid=//archimate:SpecialisationRelationship[@source=$id]/@target]/../@name;true;
d07f34b8;A composition relationship points from here to the attribute;0;//attribute[@parentid=//archimate:CompositionRelationship[@source=$id]/@target]/@parentid;true;
1c076398;A composition relation points to the default from the attribute;0;//default[@parentid=//archimate:CompositionRelationship[@source=$id]/@target]/@parentid;true;
36fbd768;name of the parent node + the documentation of the parent node;0;../@name | ../documentation;;
139f9bab;documentation of the parent node;0;../documentation;;
47ca6523;name of the parent node;0;../@name;;
4f571b31;The place where the physical hardware of the server is located;0;//archimate:Location[@id=//archimate:AssignmentRelationship[@target=$id]/@source]/@name;true;
e07cded6;This is the physical hardware the server is running on;0;//archimate:Node[@id=//archimate:CompositionRelationship[@target=$id]/@source]/@name;true;
803d1beb;The network zone the server runs on;0;//archimate:Network[@id=//archimate:AssociationRelationship[@source=$id]/@target]/@name;true;
64e3b89e;This is the operating system of the server;0;//archimate:SystemSoftware[@id=//archimate:CompositionRelationship[@source=$id]/@target]/@name;true;
03787811;This is the role of the server in the big picture;0;//archimate:ApplicationFunction[@id=//archimate:RealisationRelationship[@source=$id]/@target]/@name;true;
1d75ebdd;The life cycle phase;0;//archimate:Plateau[@id=//archimate:AggregationRelationship[@target=$id]/@source]/@name;true;
524c00b1;The technically responsible person;0;//archimate:BusinessActor[@id=//archimate:UsedByRelationship[@source=$id and @name='operates']/@target]/@name;true;
72ecce09;The administratively responsible person;0;//archimate:BusinessActor[@id=//archimate:UsedByRelationship[@source=$id and @name='manages']/@target]/@name;true;
4979990b;Name of the object;0;../@name;true;
94ef9402;The server which realizes the application;0;//archimate:Node[@id=//archimate:RealisationRelationship[@target=$id]/@source]/@name;true;
50b2059e;name of the parent node;0;../@name;;
f6a7fd9f;A Realisation relation should point from the author to the document version;0;//*[@parentid=//archimate:RealisationRelationship[@target='c400f4ad']/@source]/@parentid;;
94d50d97;the default state is 'not started';0;'not started';;
4b847644;A used by relationship points from the author to the process step;0;//archimate:UsedByRelationship[@target=$id]/@source;true;
8c50cc08;More organisational units contains (Composition) the person, and one of the relations have a property with "primary" property.;0;//OrganisationalUnit[@parentid=//archimate:CompositionRelationship[@target=$id and ./property/@value='primary']/@source]/../@name;;
4983c1c8;Exactly one organisational unit contains (Composition) the person.;1;//OrganisationalUnit[@parentid=//archimate:CompositionRelationship[@target=$id]/@source]/../@name;true;
590f7495;Organisational units containing (Composition) the person.;0;//OrganisationalUnit[@parentid=//archimate:CompositionRelationship[@target=$id]/@source]/../@name;true;
